id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Costume,Eyes,Faction,Forehead Eye,Hand Item,Mouth,Race
232,1.6333,3046,59.5,https://magiceden.io/item-details/EARpksJNrUbY4Vp5i71hDGyUY9sRtPfremto7SYAi1Ln,None,Red Brush,Red Cloak,Brown,House of Degen,Ra,Grey Skull,Neutral,Human-Tan-Skin
254,2.7,2010,60.28,https://magiceden.io/item-details/HU64sFxcZ1jLgipQUzkSTbMGQ7YTiQa8cbtyJmjbyXjR,None,Taj Mahal,Black Cloak,Air,Golden Circle,Fatima,Owl,Normal,Human Dark Skin
312,1.5,2606,65.7,https://magiceden.io/item-details/8YVpxnLgKYdKV1jvFWSLajRtiF9N6XZ3aPiGaDuq9eqH,None,District Spaceship,Brown Mage,Ice,Skull & Bones,Gender,Crucifix,Sad,Human Dark Skin
346,1.3,2251,71.62,https://magiceden.io/item-details/FqbJYGviStonAPDHSoxx2dnwG12bjMNEbrGoo62tT8Wo,None,Blue Brush,Brown Mage,Sharingan,House of Degen,Red,Robot,Normal,Reptilianus
364,2,1572,72.13,https://magiceden.io/item-details/DRXX87ZEhjLXaBqacoRo5PNnWrG29gT2UKu952DEQLgb,Normal Glasses,Blue Brush,Tuxedo,Green,Golden Circle,Vertical,Radar,Neutral,Human-Tan-Skin
389,1,1491,83.02,https://magiceden.io/item-details/3yggbjF72fb7e5MgkhDhN83kgwK3RnrtMwv5UiB9LWpq,Normal Glasses,Tokyo,Priest,Brown,Golden Circle,Black,Compass,Neutral,Human Light Skin
390,1.49,1763,75.11,https://magiceden.io/item-details/8eR2vTUx2Fs2QT6kWSEy2oNoP9db6HU6EappUQzRmU9e,Classic Sunglasses,Tokyo,Tuxedo,Ice,House of Degen,Robot Grey,Navigator,Normal,Human Dark Skin
398,2.1,1285,74.3,https://magiceden.io/item-details/7vXapcZUqcfaWrt9XAjPLrHvg4fupS6XAbUcwoCQz6ga,Small Roundglasses,Dark Green,Black Cloak,Green,Skull & Bones,Gender,Gold Skull,Neutral,Human-Tan-Skin
431,1.8,1113,79.2,https://magiceden.io/item-details/5xwHG8cKTFVjm1b1qtb5vFyouPpECTXnHR5nPu8dNnX1,None,Dubai,Brown Mage,Blind,Skull & Bones,Black,Navigator,Slightly Smile,Green Alien
462,2.99,592,73.06,https://magiceden.io/item-details/7wpe8FEzmazwt3ti3WS8d5UMAAJEboFAAnXuGJQSwrcd,None,Red Brush,Leather Jacket,Blind,Skull & Bones,Red,Radar,Smile,White Alien
474,2.95,421,75.35,https://magiceden.io/item-details/B9TjRiTrdiBBHvTfzZdYa6ZdCBJcLadzEjXMU9mcYnPC,Normal Glasses,Red Brush,Admiral,Devil,Skull & Bones,Robot Red,Crucifix,Sad,Reptilianus
516,1.8,3017,58.15,https://magiceden.io/item-details/WxM338GSuHmCfXj7WJGjGvzDmVyyumk6rJe7j8Nv5hB,Normal Glasses,New York,Black Cloak,Blue,House of Degen,Robot Grey,Gold Skull,Neutral,Human-Tan-Skin
543,2.69,1102,70.42,https://magiceden.io/item-details/97LVQgUDzrm4WznVwCQFRwKqkVhjXJSLd3D6rNBa3qyc,None,Blue,Brown Mage,Devil,House of Degen,Golden,Owl,Wide Smile,White Alien
572,2.35,288,82.82,https://magiceden.io/item-details/CUhb8rVT38MvqMjbu9mGv4mxLdqTrpGzbEAKJY6QD81U,Classic Sunglasses,Pyramid,Red Cloak,Earth,Skull & Bones,Sauron,Staff,Neutral,Human-Tan-Skin
578,2.2,2239,62.75,https://magiceden.io/item-details/GYd2DshBrAAFy3aZVWiLRBCAAYrxL8Em9AaSoXwGTHPT,Normal Glasses,Beige,MIB,Demon,Skull & Bones,Robot,Navigator,Neutral,Human Light Skin
618,1.12,2861,66.68,https://magiceden.io/item-details/BraBmTWMsXz2zjR81NjZCHq7bDkSyNESgUMPnGYk4k9G,None,Tokyo,Napoleon,Devil,House of Degen,Vertical,Pyramid,Normal,Human Dark Skin
627,1.8,2099,68.3,https://magiceden.io/item-details/4JJ7HhtZur62usc31or1FK7zeMYtfvreX9oFSJTkq4Re,Classic Sunglasses,Grey,MIB,Devil,Golden Circle,Red,Robot Eye Golden,Sad,Reptilianus
637,2,3060,55.68,https://magiceden.io/item-details/BBB3Prn3sLnmPvyS6uBSxqL5cijUc3WEALHUDjJKB3MX,None,Taj Mahal,Red Cloak,Devil,House of Degen,Earthquake,Gold Skull,Normal,White Alien
663,2.75,813,73.01,https://magiceden.io/item-details/CmBFagg8ykYZeWHDs6uLmiiUA6YdA5HEdzkQ4WGCFhDG,Classic Sunglasses,Blue Brush,Pimp,Devil,Skull & Bones,Robot,Compass,Slightly Smile,Reptilian Alien
677,1.4,1333,80.77,https://magiceden.io/item-details/CrFTTsmQuEVrojqGZgSNr9KMgrYQmgtGapK9KSNofqb6,None,London,Doctor,Earth,House of Degen,Red,Compass,Neutral,Human Light Skin
683,1,1052,87.87,https://magiceden.io/item-details/FPo6vshaDTp4REW8gRYDAmuiAMFLDGViAjjEKZAxzef7,Classic Sunglasses,Tokyo,Hoodie,Devil,Skull & Bones,Robot Grey,Arab Sword,Sad,Reptilianus
693,1.92,1744,71.02,https://magiceden.io/item-details/B2KMCBCo8To7otvXmu4SMJL6nFCnHBPSY6BvFpKttC1x,None,Grey,Napoleon,Devil,Skull & Bones,Earthquake,Gold Skull,Smile,White Alien
694,2.7,3535,43.43,https://magiceden.io/item-details/2aRUHm425JYcFgbBFkGGmN9jHbcpqp8sBQa2FBPbnjRP,None,Pyramid,Black Cloak,Brown,House of Degen,Robot Grey,Owl,Normal,Human Dark Skin
707,1.57,1682,75.21,https://magiceden.io/item-details/GuLooTHQNu9xnqrfExcqNCwcbwEXEV9FBYdJzM47yHM8,None,London,MIB,Yellow,Skull & Bones,Sauron,Crucifix,Normal,Reptilian Dino
751,2.5,1445,68.53,https://magiceden.io/item-details/2WvxSQt6Mw1ATXAqP17JtYJPMLKAoMR31DbqLkmUqASM,Normal Glasses,Dark Green,Napoleon,Green,Skull & Bones,Robot Grey,Owl,Neutral,Human-Tan-Skin
757,1.9,382,86.28,https://magiceden.io/item-details/BrPS7D6puzGWNKxKvznz26FsW8EvUepQi4Fudii8p1G2,Black Rebel Bandana,Dark Green,Suit,Devil,Skull & Bones,Sauron,Compass,Smile,White Alien
758,2.45,200,82.79,https://magiceden.io/item-details/F8Ds1wmpFuf3wzVrTiVJdh5nDps8Sazbk1Rf9MrVCoxG,Classic Sunglasses,Blue,Admiral,Demon,House of Degen,Golden,Navigator,Toothpick,Human Light Skin
780,2.1,3500,49.82,https://magiceden.io/item-details/Hb2m1ncyiKMb2hZUuqEgP5auh4DX4p6wdNUzyT8vTGuL,None,Rio Favela,Brown Mage,Green,House of Degen,Red,Robot Eye Golden,Neutral,Human Light Skin
781,1.8,1112,79.21,https://magiceden.io/item-details/5nCCuAV8jNU7jhjBteuwKtiQLJXJrvYq42HCoERFP7n2,None,District Spaceship,Admiral,Devil,Skull & Bones,Black,Arab Sword,Normal,White Alien
798,2.9,174,78.58,https://magiceden.io/item-details/B45CEQpzLwQvbMUY6YFVz3kcDcg4BucMgwGk7NHqMWd6,Black Rebel Bandana,Hell,Tuxedo,Sharingan,Skull & Bones,Vertical,Gold Skull,Normal,Reptilian Dino
805,1.3,3307,59.95,https://magiceden.io/item-details/3k1NFFTset7qYzhcx71GxLgSuSU3UoKqZwg7tAFRDguR,Classic Sunglasses,Beige,Brown Mage,Blue,House of Degen,Red,Gold Skull,Normal,Human Dark Skin
846,1.8,688,83.9,https://magiceden.io/item-details/AXaT3FxAmnDnhHwJdwRi2557AtWKi6jUr1z9haDwnjHM,None,Taj Mahal,MIB,Demon,Skull & Bones,Vertical,None,Sad,Blue Alien
850,2,2853,57.97,https://magiceden.io/item-details/BGgAnGm4697cCFpPMuNwuw7HdaGXX3GK2doCNXGfbc5a,None,Red Dark,Reaper,Devil,Golden Circle,Robot,Radar,Sad,Reptilian Alien
871,1.55,2644,64.78,https://magiceden.io/item-details/6ETxYjEqRLvfpobvar9T7pRRSSwLVcnAJ6CFG4GNwVPz,None,Rio Favela,Suit,Green,House of Degen,Fatima,Robot,Neutral,Human Light Skin
873,2.15,244,85.3,https://magiceden.io/item-details/B8RKiNRxTgDkrEHryiGnvuDG82Pt3bSTn4eTQbLbuckD,Pirate Patch,Red Dark,Suit,Devil,Golden Circle,Red,Lightsaber,Slightly Smile,Reptilianus
878,1.9,3539,51.38,https://magiceden.io/item-details/3DQ7XbsxGj3Z1fFfiboea7CgQyDfPs4W13YerZf1PsPw,None,Dubai,Black Cloak,Devil,Golden Circle,Robot,Pyramid,Normal,Reptilian Dino
890,2.99,2003,57.46,https://magiceden.io/item-details/FSGVHHoQ5wn3E3QjVcGrKNrVYRXQFMr5MMM8myR24U1G,None,Red Space,Army,Green,Golden Circle,Robot Grey,Radar,Toothpick,Human Dark Skin
902,2.2,454,82.48,https://magiceden.io/item-details/93UnDTs2T5XqRNbYBA4f6zqwn19TfnV5rK8AgGMe5iKK,Normal Glasses,Blue Brush,King1,Crystal,Golden Circle,Earthquake,Crucifix,Sad,Human Dark Skin
951,2.7,3592,42.8,https://magiceden.io/item-details/HwjtGGsxEuFkuz6Tgj3xZQrxZawK97MUg23DUbrEMyeT,None,Red Brush,Black Cloak,Devil,House of Degen,Robot,Gold Skull,Normal,White Alien
974,1.5,1428,78.72,https://magiceden.io/item-details/6Ck3ZmbHVY7dUztSEaZx3jCBYmKoHTMzndR58QNFD832,None,Green,MIB,Air,Skull & Bones,Robot Grey,Grey Skull,Toothpick,Human Dark Skin
1026,1.95,472,84.78,https://magiceden.io/item-details/6BGgNyEEPziNq1oNsxsdRBvM4j9ARAcbHjPLXXbvevAm,Classic Sunglasses,Beige,Tribal White,Blue,Skull & Bones,Gender,Navigator,Wide Smile,Human Light Skin
1029,1.7,2514,64.71,https://magiceden.io/item-details/5bTWyUHek6CfVKbzapwKBw43ow3pCsneoM69aScvGzG1,Classic Sunglasses,Marrakech,Hoodie,Blue,House of Degen,Ra,Gold Skull,Neutral,Human-Tan-Skin
1033,1.5,2128,70.98,https://magiceden.io/item-details/383HpzaKt6tmCEGCYqZipdHy2oxGHiufmsHZJmFS1q7n,None,Blue Brush,Hoodie,Devil,Skull & Bones,Robot Red,Crucifix,Normal,Reptilian Dino
1035,1.99,3101,55.33,https://magiceden.io/item-details/EfQENzeXZBq89pakRSP2bv4tjLGPvEFcq2NBXxgLD5p2,None,Blue Brush,Black Cloak,Brown,Skull & Bones,Earthquake,Grey Skull,Slightly Smile,Human-Tan-Skin
1050,1.5,650,87.32,https://magiceden.io/item-details/E8xktBDSkEwUcWxm7ckN5J8gwW2BonCQtUjUhUM59cfJ,Normal Glasses,Tokyo,Leather Jacket,Blue,Skull & Bones,Robot,Compass,Smile,Human Light Skin
1059,2.6,2517,55.68,https://magiceden.io/item-details/HamFTT6HJjAa4tAEi18xTKjTTZhdod3dDSQrcVDtNn82,Normal Glasses,Dark Green,Hoodie,Brown,Skull & Bones,Fatima,Compass,Normal,Human Dark Skin
1071,2,2628,60.45,https://magiceden.io/item-details/8CNf6WyhthYyKxeDLAJM9hiR87zNtm9EUxaWrr8ux8up,None,Rio Favela,Black Cloak,Air,Skull & Bones,Ra,Compass,Neutral,Human Light Skin
1123,1.5,2746,64.15,https://magiceden.io/item-details/FN36AyVr4dBrmsdXk1BESt5aowz5oNfq56D4tC2iuFk4,None,Beige,Solana Hoodie,Devil,Golden Circle,Vertical,Owl,Normal,Reptilianus
1145,1.4,1423,79.77,https://magiceden.io/item-details/AGfAs8LcmAuMJSdei8W4YHxW2qWm2HkbZbdZ4QEWPVAM,None,Beige,Sailor,Green,Golden Circle,Red,Black Skull,Toothpick,Human Light Skin
1187,3,15,79.33,https://magiceden.io/item-details/DzRsHtc8hSGsZwR2ush2v4CLjeU1AEhvyHabqKKLGNgi,None,Blue Brush,Sailor,Blue Alien,Golden Circle,Robot Grey,Pyramid,Sad,Blue Alien
1191,1.33,2428,69.36,https://magiceden.io/item-details/6qUdv5M4oFCwRjRsxr8z5seV87f15X3G53HrA12T1FMa,None,Dark Green,Hoodie,Earth,House of Degen,Vertical,Grey Skull,Normal,Human Dark Skin
1205,1.5,2313,68.93,https://magiceden.io/item-details/6Uy7VsQ35EMSvZhRzyVJWdTx3cSKp8vP2uvxdMKaXKou,None,District Spaceship,Priest,Green,Skull & Bones,Fatima,Crucifix,Normal,Human Dark Skin
1212,2,2774,58.84,https://magiceden.io/item-details/BqNs3MnHP87NncppgR4RcQuffa9hQeTisegSg9pKQE6D,None,Dubai,Solana Hoodie,Demon,House of Degen,Vertical,Black Skull,Neutral,Human Light Skin
1218,2.8,491,76.07,https://magiceden.io/item-details/9QncrWTnVFMAq1sBFBxJKUNeRvRh1ztd5V964wXj8oY,Normal Glasses,Green,Reaper,Spiral,Skull & Bones,Black,Robot Eye Golden,Neutral,Human-Tan-Skin
1235,2,3016,56.16,https://magiceden.io/item-details/EAatssutaVVoySJcJTb2GwYySniUDnPfeDywERUh6Lmb,Normal Glasses,Marrakech,Brown Mage,Brown,House of Degen,Robot Grey,Gold Skull,Neutral,Human Light Skin
1278,1,1441,83.57,https://magiceden.io/item-details/7frVY5ErxtXgiyUR2fdZfAYEGDbnRzXZSLjyfn6NgdBS,Classic Sunglasses,District Spaceship,Admiral,Green,House of Degen,Robot Grey,Pyramid,Sad,Human Light Skin
1279,1.8,2501,63.86,https://magiceden.io/item-details/HLY7oQWWRAGA6WWddgRakwU6MBvXZieprJBBXF8YafCg,None,Marrakech,Black Cloak,Blue,Skull & Bones,Sauron,Robot Eye Golden,Wide Smile,Human Dark Skin
1337,1,1425,83.75,https://magiceden.io/item-details/BpVtbViSYuLUHcaqDrGv4R2RNcXpMQy8md4Jzs53WPLV,None,Dark Green,Reaper,Green,Golden Circle,Gender,Crucifix,Toothpick,Human Light Skin
1358,1.08,851,89.29,https://magiceden.io/item-details/DgSYYK8VA5fxn76dkbp11CDUxJXFKejENoLN1PmDBRGF,Surgical Mask,Blue,Hoodie,Blue,Skull & Bones,Black,Gold Skull,Slightly Smile,Human-Tan-Skin
1394,2.1,1096,76.39,https://magiceden.io/item-details/8qyRVHTSC2vdVSt8NW5DKqTG16vNgRz6ngkvNXTEbM4Y,None,Pyramid,Hoodie,Devil,Golden Circle,Earthquake,Arab Sword,Wide Smile,Reptilian Alien
1396,1.699,2087,69.44,https://magiceden.io/item-details/FkH2LGsEYejcmkDqV9BssNtzz6PQcRSTn2sQGWH35ScH,Normal Glasses,Grey,Solana Hoodie,Green,Skull & Bones,Red,Robot,Neutral,Human-Tan-Skin
1398,2.2,1815,67.44,https://magiceden.io/item-details/Cg1EBvcAqUkSiWyDMavLFYSDtsoUu3JAySV7PBjejZHE,Normal Glasses,London,MIB,Blue,House of Degen,Robot Grey,Navigator,Wide Smile,Human Dark Skin
1416,1.95,412,85.45,https://magiceden.io/item-details/Gd8DjzsEr1ok6vJH6sd7kWPSzWarQW9Vvh7sJ1sL44Ly,Small Roundglasses,Blue Brush,Pimp,Brown,Golden Circle,Red,Compass,Slightly Smile,Human Light Skin
1417,1.89,3532,51.56,https://magiceden.io/item-details/Grmd5QnJgjP1voshHw4AcS2cAZ4bUFG5ofwj853hpzfy,None,Rio Favela,Red Cloak,Blue,Skull & Bones,Robot,Compass,Normal,Human Dark Skin
1429,2.5,964,73.85,https://magiceden.io/item-details/4HR7zXb4v9PZ9vTnMC2UyowBxNeV9NLg4yu1ojhHdFGx,Classic Sunglasses,Dubai,King1,Devil,Golden Circle,Sauron,Owl,Normal,Reptilianus
1452,0.95,1557,82.79,https://magiceden.io/item-details/D1nXxLtfF4EA2TinWucU8hbUuNbEeTyrfScmuhEHYHu5,None,Beige,Reaper,Devil,Golden Circle,Water,Robot Eye Golden,Neutral,Human-Tan-Skin
1471,2.2,1323,72.88,https://magiceden.io/item-details/FrvuhuSRFURPHkpvVfLx2xL5Mga95wBdG4vodSdDhscv,Normal Glasses,London,Priest,Green,House of Degen,Red,Radar,Slightly Smile,Human Dark Skin
1488,2.25,3240,51.19,https://magiceden.io/item-details/7bjEaz54CzYZdfMNazDkknMHQXidaKHE3TQA54eQ1Qqb,None,Hell,Brown Mage,Fire,Golden Circle,Red,Compass,Normal,Human Dark Skin
1497,2.5,3238,48.71,https://magiceden.io/item-details/5A6GS2mCme8Up85URdrao5ewCNKTk5NhLv5HCujz4VHE,Classic Sunglasses,Dark Green,Brown Mage,Devil,House of Degen,Red,Compass,Normal,Reptilianus
1509,1.5,1088,82.47,https://magiceden.io/item-details/2oW8Xf6UAy3dEPAtgannXoaEU1rsqVtDBgcDB83i9ZDa,None,Dubai,Suit,Water,House of Degen,Robot Grey,Robot,Smile,Human Dark Skin
1513,2.5,2551,56.3,https://magiceden.io/item-details/B5Nj2ZkbhxGuwQWi6eB9jZLupAWCLzfDzPgm9n6KcaiE,None,Blue Brush,Brown Mage,Devil,House of Degen,Green,Navigator,Normal,Reptilianus
1541,1.666,1553,75.68,https://magiceden.io/item-details/CP9RXnqB17oTcmrZMkSsaGCqwnWMWqtXeQ8iYCFwHz6J,None,Dark Green,Napoleon,Fire,House of Degen,Black,Compass,Sad,Human Dark Skin
1559,1.2,806,88.59,https://magiceden.io/item-details/FoHtzfwAFJRE4istLBSA9ah66G2KSuFbReeJ5RKpm52P,None,Beige,MIB,Ice,Golden Circle,Robot,Katana,Smile,Human Dark Skin
1566,2.5,407,80,https://magiceden.io/item-details/DdTxZHuYHZvNPaBKG8buuxGJFf9sUiqEppQZTrqcBQZ,None,Grey,Brown Mage,None,Skull & Bones,Robot Grey,None,None,Faceless
1570,2.49,995,73.6,https://magiceden.io/item-details/EVXoTDLbUmtj6Hia7y8v7qGKEtMBwqWU2p3CG8WhP7Sm,None,New York,Sailor,Brown,Golden Circle,Golden,Grey Skull,Neutral,Human-Tan-Skin
1573,1.69,2182,68.48,https://magiceden.io/item-details/HSH3ie318mUnTQRsNaTkUfCvEjtcnv9qVirjkNCBHdxe,None,London,Red Cloak,Water,Golden Circle,Robot,Grey Skull,Normal,Human Dark Skin
1576,2.5,2930,52.12,https://magiceden.io/item-details/Dd317hbtx3nBJUKyQZESk2e51VUCYgQPQTrziikf6qPM,None,Pyramid,Priest,Green,Skull & Bones,Black,Compass,Normal,Human Dark Skin
1637,1.7,150,90.84,https://magiceden.io/item-details/BHkQApFt5GVh1TqZwcXNQeV2baw8TeqkezsYAEbjChz6,None,Red Brush,Army,None,House of Degen,Gender,Black Skull,None,Faceless
1649,1.99,1343,74.76,https://magiceden.io/item-details/C6WjScHjzH2KtyBzEMRg9vBeykcUwT1rWsAypMyXXVvE,None,Green,Doctor,Fire,House of Degen,Earthquake,Navigator,Normal,Human Dark Skin
1668,1.18,3282,61.42,https://magiceden.io/item-details/7UXd4MgxpZHcAfXkDD4sm6uiiqBpu92TV1MvARt7mNWw,None,Green,Brown Mage,Demon,Golden Circle,Robot,Grey Skull,Normal,Reptilian Dino
1678,2.25,101,85.88,https://magiceden.io/item-details/HYvF3RaaTVwqjxp8twgL9b7AnNDwMCGMydGMUadzJf1K,None,Taj Mahal,Hoodien,Devil,Golden Circle,Ice,None,Normal,Blue Alien
1680,1.8,3150,56.68,https://magiceden.io/item-details/5SX2Mbn7esRhiKBGts7vZ9diEZkCi7LoaYXwjR7Zzetx,None,New York,Black Cloak,Blue,House of Degen,Robot,Grey Skull,Smile,Human Dark Skin
1716,1.7,1623,74.56,https://magiceden.io/item-details/4ftt2pdV2eUfkgu4ebQBCpRUQ6cJXgbHDFdgzjUBWrTe,None,Dubai,Priest,Sharingan,House of Degen,Red,Grey Skull,Normal,Reptilianus
1721,1.5,1886,73.65,https://magiceden.io/item-details/EVreayyJ6r9PAuVtKUpSBCYwTwVG2u7Uoi3NjcHsyMUS,None,Hell,Hoodie,Crystal,Golden Circle,Robot Grey,None,Normal,Reptilian Alien
1725,1.75,1157,79.21,https://magiceden.io/item-details/9PUXTkn5omuXvPECAiVhtmdvTEnpiiik3tr1qbTGo9yE,Normal Glasses,Grey,Tuxedo,Ice,House of Degen,Earthquake,Navigator,Sad,Human Dark Skin
1726,1,2405,72.92,https://magiceden.io/item-details/GZxUGgmc35933RReKiJrNuV4MW4AaRvym7f3YvXbDeRH,None,Red Dark,Brown Mage,Ice,Golden Circle,Sauron,E Crucifix,Normal,Reptilian Dino
1761,1.56,2229,69.26,https://magiceden.io/item-details/DYBaeCj2MziW4bHvqDeiAYbvJo8fbdwiBdETeJGvbWsC,None,Red Brush,Black Cloak,Devil,Golden Circle,Golden,Grey Skull,Sad,Reptilianus
1776,1.2,2949,64.91,https://magiceden.io/item-details/GcwvrPTy8WHXvtTQHoTCrLEPvF9Rnu5nSrkrX7akp2CM,None,Beige,Solana Hoodie,Devil,House of Degen,Fatima,Navigator,Normal,White Alien
1812,2.5,2741,54.2,https://magiceden.io/item-details/8kxjEHo31ivfE5CGAL8p3u1rC5jygMz7sxDL2VdZYWZ8,None,London,Armour,Brown,Golden Circle,Red,Gold Skull,Normal,Human Dark Skin
1824,1,2744,69.17,https://magiceden.io/item-details/nTUsA2modjJFmzDZypeK7kDzEDqJhgBDUibwaLfofex,None,Red Brush,Solana Hoodie,Brown,Skull & Bones,Robot,Radar,Smile,Human Dark Skin
1874,1,2673,69.96,https://magiceden.io/item-details/5vXHuEv3VEgxDbTFd1BcMr33BwFUTgod8WK5U5DAvjii,None,Rio Favela,Priest,Blue,House of Degen,Earthquake,Grey Skull,Neutral,Human-Tan-Skin
1905,1,1167,86.6,https://magiceden.io/item-details/EV2vY7MSCYGRZqNVk2WucXAhm8bnBGP6vGyHib4VkokJ,Classic Sunglasses,Dubai,Astronaut,Devil,House of Degen,Vertical,Robot,Normal,Reptilianus
1906,1.99,3322,52.88,https://magiceden.io/item-details/HoGqH37CgKPvfzNViU4bjRALsL5jDJRbNY1BwS7YAQAK,None,Pyramid,Reaper,Devil,House of Degen,Robot Grey,Pyramid,Normal,Reptilianus
1921,1.1,1613,80.67,https://magiceden.io/item-details/ETnMkhZfJMSmfKA6h4ZWLozFCmbsrdxRXHpL6Lv7dzAb,Normal Glasses,Red Space,King2,Green,Golden Circle,Robot,Navigator,Normal,Human Dark Skin
1928,1.79,2360,65.52,https://magiceden.io/item-details/J9C5xr9FNZSn27DaRSjUqsbz2An99CAJBQXrXFSr3tfq,None,Pyramid,Army,Blind,Golden Circle,Red,Navigator,Normal,Reptilian Dino
1939,1.5,2130,70.96,https://magiceden.io/item-details/65iYpiszWDVbswJth1HimhHdMn9ejcnEwE8HwGomsUBZ,None,Green,Astronaut,Demon,House of Degen,Robot,Radar,Normal,Reptilian Dino
1961,2.25,279,83.92,https://magiceden.io/item-details/BwQJpRdgBUHWuWqjgY4F18BAk5bH6xoWASxEqPxTYrFj,Classic Sunglasses,Hell,Reaper,Fire,Skull & Bones,Spiral,Compass,Slightly Smile,Human Light Skin
1962,2.5,2818,53.35,https://magiceden.io/item-details/AJ7PaUCHfxFjbcqCoRkL4MotWfgcWdVv8VMF4mynXkSk,None,Dark Green,Hoodie,Blind,House of Degen,Red,Navigator,Normal,White Alien
1968,2,425,84.8,https://magiceden.io/item-details/Cg7CFEPNmva9sgPCN9BnL6LXvjTFK9gNt8T41e7w7tBz,Hannibal Mask,Grey,Napoleon,Blue,Golden Circle,Red,Black Skull,Slightly Smile,Human Light Skin
2023,2.05,2799,58.06,https://magiceden.io/item-details/7rnCLMfRMnqHUGm8xV5WvnXKkHjGcsYJfG8doVS8hGBN,None,Rio Favela,Brown Mage,Green,House of Degen,Vertical,Pyramid,Slightly Smile,Human-Tan-Skin
2025,0.98,2869,67.99,https://magiceden.io/item-details/F1nHD5pmcAP82eAtZcNiQzadgQhYVtsnuUEBzuqqXuNf,None,Green,Reaper,Green,Golden Circle,Earthquake,Robot Eye Golden,Normal,Human Dark Skin
2027,2.5,735,76.38,https://magiceden.io/item-details/9otpreEFoffph9VozMnmPysNczSPWs1eL9PBR4gZRxRd,Surgical Mask,Dark Green,Black Cloak,Demon,House of Degen,Sauron,Compass,Normal,Reptilian Dino
2030,1.9,1659,72.16,https://magiceden.io/item-details/39XmVk8NUQfMvyeoQ18Gg75Q4kuB943h4nJ5TRvQW62o,None,Pyramid,Napoleon,Blind,House of Degen,Sauron,Navigator,Normal,White Alien
2040,2.8,876,71.82,https://magiceden.io/item-details/BZFugPrHaj5c5yPocTNp8ng195aZFzkvNQ4qV2VXm7sC,None,Marrakech,Armour,Earth,Skull & Bones,Black,Navigator,Sad,Human-Tan-Skin
